OBJECTID,COUNTRY,XCOORD,YCOORD
91,Cape Verde,-24.658292,14.972523
91,Cape Verde,-22.657237,16.153435
91,Cape Verde,-22.662166,16.152395
91,Cape Verde,-22.663682,16.153556
91,Cape Verde,-22.660645,16.154327
91,Cape Verde,-22.657237,16.153435
91,Cape Verde,-24.646388,14.969196
91,Cape Verde,-24.650148,14.969355
91,Cape Verde,-24.649818,14.972683
91,Cape Verde,-24.648036,14.972338
91,Cape Verde,-24.646388,14.969196
91,Cape Verde,-22.665476,16.146022
91,Cape Verde,-22.666179,16.144339
91,Cape Verde,-22.6698,16.146769
91,Cape Verde,-22.66771,16.147836
91,Cape Verde,-22.665476,16.146022
91,Cape Verde,-23.157041,15.356159
91,Cape Verde,-23.158967,15.354182
91,Cape Verde,-23.157918,15.357463
91,Cape Verde,-23.157041,15.356159
91,Cape Verde,-23.505952,14.90672
91,Cape Verde,-23.50724,14.905425
91,Cape Verde,-23.508026,14.90942
91,Cape Verde,-23.505952,14.90672
91,Cape Verde,-23.134586,15.312393
91,Cape Verde,-23.13434,15.311632
91,Cape Verde,-23.137436,15.312408
91,Cape Verde,-23.136822,15.313115
91,Cape Verde,-23.134586,15.312393
91,Cape Verde,-22.696809,16.196454
91,Cape Verde,-22.698505,16.19562
91,Cape Verde,-22.698718,16.197927
91,Cape Verde,-22.697504,16.197904
91,Cape Verde,-22.696809,16.196454
91,Cape Verde,-25.010213,16.910358
91,Cape Verde,-25.011255,16.908929
91,Cape Verde,-25.011224,16.911303
91,Cape Verde,-25.010213,16.910358
94,Central African Republic,22.527645,11.021175
94,Central African Republic,22.873242,10.935774
94,Central African Republic,23.666035,9.891815
94,Central African Republic,23.655423,9.29306
94,Central African Republic,23.443953,9.028187
94,Central African Republic,23.587855,9.002953
94,Central African Republic,23.519928,8.726406
94,Central African Republic,24.26045,8.706493
94,Central African Republic,24.209249,8.303261
94,Central African Republic,24.859552,8.180351
94,Central African Republic,25.220318,7.877884
94,Central African Republic,25.199413,7.493706
94,Central African Republic,26.412816,6.653423
94,Central African Republic,26.289089,6.469917
94,Central African Republic,26.530374,6.221352
94,Central African Republic,26.446812,6.071491
94,Central African Republic,27.200537,5.741558
94,Central African Republic,27.2499,5.332661
94,Central African Republic,27.467108,5.089245
94,Central African Republic,27.451084,5.017319
94,Central African Republic,27.108259,5.20915
94,Central African Republic,26.869371,5.035858
94,Central African Republic,26.485414,5.047445
94,Central African Republic,25.532944,5.39197
94,Central African Republic,25.357256,5.30983
94,Central African Republic,25.326739,5.043068
94,Central African Republic,25.06352,4.926424
94,Central African Republic,24.724511,4.894409
94,Central African Republic,24.379005,5.113277
94,Central African Republic,24.269314,4.936466
94,Central African Republic,23.383523,4.590912
94,Central African Republic,22.902613,4.81572
94,Central African Republic,22.547577,4.215722
94,Central African Republic,22.258271,4.115067
94,Central African Republic,21.745737,4.309044
94,Central African Republic,20.576619,4.417053
94,Central African Republic,20.179763,4.888916
94,Central African Republic,19.415995,5.127594
94,Central African Republic,18.544446,4.324493
94,Central African Republic,18.638871,3.479061
94,Central African Republic,17.465696,3.709259
94,Central African Republic,16.563746,3.490048
94,Central African Republic,16.513888,2.851467
94,Central African Republic,16.188184,2.225933
94,Central African Republic,16.031595,2.979441
94,Central African Republic,15.248092,3.7187
94,Central African Republic,14.525349,5.285111
94,Central African Republic,14.619091,5.890238
94,Central African Republic,14.421593,6.082767
94,Central African Republic,14.742695,6.259975
94,Central African Republic,15.218143,7.243252
94,Central African Republic,15.49394,7.529631
94,Central African Republic,15.970058,7.487226
94,Central African Republic,16.590928,7.885952
94,Central African Republic,16.838108,7.532206
94,Central African Republic,17.664454,7.985087
94,Central African Republic,18.609089,8.053837
94,Central African Republic,19.123705,8.670101
94,Central African Republic,18.915768,8.926392
94,Central African Republic,20.443668,9.14938
94,Central African Republic,21.678383,10.239773
94,Central African Republic,21.825941,10.839129
94,Central African Republic,22.527645,11.021175
95,Chad,21.183994,20.977364
95,Chad,23.998615,19.500732
